method                     fraction   comp MB/s    decomp MB/s
kanzi None N=2048          1.0027     439          505         
kanzi None N=2048          1.0027     412          518         
kanzi None N=1024          1.0052     241          297         
kanzi None N=1024          1.0052     238          311         
kanzi None N=1024          1.0052     238          306         
kanzi None N=1024          1.0052     238          293         
kanzi None N=1024          1.0052     235          297         
kanzi None N=1024          1.0052     232          293         
kanzi None N=1024          1.0052     232          277         
kanzi None N=1024          1.0052     227          297         
kanzi None N=1024          1.0052     227          293         
kanzi None N=1024          1.0052     208          293         
kanzi Huffman N=auto       0.6123     1347         919         
kanzi Huffman N=auto       0.6123     1347         1444        
kanzi Huffman N=auto       0.6123     1347         1347        
kanzi Huffman N=auto       0.6123     1347         1347        
kanzi Huffman N=auto       0.6123     1347         1347        
kanzi Huffman N=auto       0.6123     1347         1347        
kanzi Huffman N=auto       0.6123     1263         1444        
kanzi Huffman N=auto       0.6123     1263         1347        
kanzi Huffman N=auto       0.6123     1263         1347        
kanzi Huffman N=auto       0.6123     1263         1347        
kanzi Huffman N=8192       0.6129     381          505         
kanzi Huffman N=8192       0.6129     381          505         
kanzi Huffman N=8192       0.6129     381          505         
kanzi Huffman N=8192       0.6129     381          505         
kanzi Huffman N=8192       0.6129     381          493         
kanzi Huffman N=8192       0.6129     374          505         
kanzi Huffman N=8192       0.6129     374          493         
kanzi Huffman N=8192       0.6129     367          493         
kanzi Huffman N=8192       0.6129     367          493         
kanzi Huffman N=8192       0.6129     367          481         
kanzi Huffman N=4096       0.6173     244          306         
kanzi Huffman N=4096       0.6173     244          306         
kanzi Huffman N=4096       0.6173     244          306         
kanzi Huffman N=4096       0.6173     244          306         
kanzi Huffman N=4096       0.6173     244          302         
kanzi Huffman N=4096       0.6173     241          311         
kanzi Huffman N=4096       0.6173     241          306         
kanzi Huffman N=4096       0.6173     241          306         
kanzi Huffman N=4096       0.6173     241          297         
kanzi Huffman N=4096       0.6173     238          293         
kanzi Huffman N=2048       0.6274     143          177         
kanzi Huffman N=2048       0.6274     143          176         
kanzi Huffman N=2048       0.6274     142          179         
kanzi Huffman N=2048       0.6274     142          176         
kanzi Huffman N=2048       0.6274     142          176         
kanzi Huffman N=2048       0.6274     141          176         
kanzi Huffman N=2048       0.6274     141          168         
kanzi Huffman N=2048       0.6274     138          177         
kanzi Huffman N=2048       0.6274     137          160         
kanzi Huffman N=2048       0.6274     136          177         
kanzi Huffman N=1024       0.6474     81           98          
kanzi Huffman N=1024       0.6474     81           98          
kanzi Huffman N=1024       0.6474     81           97          
kanzi Huffman N=1024       0.6474     81           92          
kanzi Huffman N=1024       0.6474     80           97          
kanzi Huffman N=1024       0.6474     80           96          
kanzi Huffman N=1024       0.6474     80           96          
kanzi Huffman N=1024       0.6474     78           96          
kanzi Huffman N=1024       0.6474     76           95          
kanzi Huffman N=1024       0.6474     73           90          
kanzi FPAQ N=auto          0.5487     158          95          
kanzi FPAQ N=auto          0.5487     149          92          
kanzi FPAQ N=auto          0.5487     149          91          
kanzi FPAQ N=auto          0.5487     144          89          
kanzi FPAQ N=auto          0.5487     134          95          
kanzi FPAQ N=auto          0.5487     130          90          
kanzi FPAQ N=auto          0.5487     128          78          
kanzi FPAQ N=auto          0.5487     124          89          
kanzi FPAQ N=auto          0.5487     122          91          
kanzi FPAQ N=auto          0.5487     121          91          
kanzi CM N=auto            0.4498     62           49          
kanzi CM N=auto            0.4498     61           49          
kanzi CM N=auto            0.4498     61           48          
kanzi CM N=auto            0.4498     61           47          
kanzi CM N=auto            0.4498     60           47          
kanzi CM N=auto            0.4498     59           48          
kanzi CM N=auto            0.4498     57           46          
kanzi CM N=auto            0.4498     56           47          
kanzi CM N=auto            0.4498     50           48          
kanzi CM N=auto            0.4498     49           48          
kanzi ANS1 N=auto          0.4731     962          808         
kanzi ANS1 N=auto          0.4731     962          808         
kanzi ANS1 N=auto          0.4731     962          808         
kanzi ANS1 N=auto          0.4731     962          777         
kanzi ANS1 N=auto          0.4731     919          842         
kanzi ANS1 N=auto          0.4731     919          777         
kanzi ANS1 N=auto          0.4731     879          697         
kanzi ANS1 N=auto          0.4731     808          749         
kanzi ANS1 N=auto          0.4731     1011         842         
kanzi ANS1 N=auto          0.4731     1011         842         
kanzi ANS0 N=auto          0.6110     962          962         
kanzi ANS0 N=auto          0.6110     962          919         
kanzi ANS0 N=auto          0.6110     1123         1123        
kanzi ANS0 N=auto          0.6110     1123         1064        
kanzi ANS0 N=auto          0.6110     1064         1123        
kanzi ANS0 N=auto          0.6110     1064         1064        
kanzi ANS0 N=auto          0.6110     1064         1064        
kanzi ANS0 N=auto          0.6110     1064         1011        
kanzi ANS0 N=auto          0.6110     1064         1011        
kanzi ANS0 N=auto          0.6110     1011         1011        
kanzi ANS0 N=8192          0.6145     355          449         
kanzi ANS0 N=8192          0.6145     355          439         
kanzi ANS0 N=8192          0.6145     355          439         
kanzi ANS0 N=8192          0.6145     355          421         
kanzi ANS0 N=8192          0.6145     348          430         
kanzi ANS0 N=8192          0.6145     348          430         
kanzi ANS0 N=8192          0.6145     343          439         
kanzi ANS0 N=8192          0.6145     331          421         
kanzi ANS0 N=8192          0.6145     321          389         
kanzi ANS0 N=8192          0.6145     316          396         
kanzi ANS0 N=4096          0.6242     235          316         
kanzi ANS0 N=4096          0.6242     235          316         
kanzi ANS0 N=4096          0.6242     232          321         
kanzi ANS0 N=4096          0.6242     232          316         
kanzi ANS0 N=4096          0.6242     232          316         
kanzi ANS0 N=4096          0.6242     232          302         
kanzi ANS0 N=4096          0.6242     230          316         
kanzi ANS0 N=4096          0.6242     230          306         
kanzi ANS0 N=4096          0.6242     230          306         
kanzi ANS0 N=4096          0.6242     217          302         
kanzi ANS0 N=2048          0.6447     146          215         
kanzi ANS0 N=2048          0.6447     144          211         
kanzi ANS0 N=2048          0.6447     144          211         
kanzi ANS0 N=2048          0.6447     143          213         
kanzi ANS0 N=2048          0.6447     143          213         
kanzi ANS0 N=2048          0.6447     142          213         
kanzi ANS0 N=2048          0.6447     142          196         
kanzi ANS0 N=2048          0.6447     140          215         
kanzi ANS0 N=2048          0.6447     139          211         
kanzi ANS0 N=2048          0.6447     139          206         
kanzi ANS0 N=1024          0.6840     84           132         
kanzi ANS0 N=1024          0.6840     83           134         
kanzi ANS0 N=1024          0.6840     83           133         
kanzi ANS0 N=1024          0.6840     83           132         
kanzi ANS0 N=1024          0.6840     82           133         
kanzi ANS0 N=1024          0.6840     82           133         
kanzi ANS0 N=1024          0.6840     82           132         
kanzi ANS0 N=1024          0.6840     82           130         
kanzi ANS0 N=1024          0.6840     82           130         
kanzi ANS0 N=1024          0.6840     82           130         
