file             bytes        this work  kanzi Huf 
dickens          10192446     0.5866     0.5908    
mozilla          51220480     0.6910     0.6883    
mr               9970564      0.4904     0.4685    
nci              33553445     0.3193     0.3202    
ooffice          6152192      0.8161     0.8040    
osdb             10085684     0.8862     0.8717    
reymont          6627202      0.6167     0.6193    
samba            21606400     0.6516     0.6550    
sao              7251944      0.9873     0.9841    
webster          41458703     0.6416     0.6439    
x-ray            8474240      0.8620     0.8309    
xml              5345280      0.6315     0.6357    

TOTAL            211938580    0.6301     0.6273    
