file             bytes        this work  kanzi Huf 
dickens          10192446     0.5711     0.5750    
mozilla          51220480     0.6793     0.6796    
mr               9970564      0.4530     0.4467    
nci              33553445     0.3096     0.3097    
ooffice          6152192      0.7899     0.7861    
osdb             10085684     0.8472     0.8417    
reymont          6627202      0.6039     0.6062    
samba            21606400     0.6495     0.6517    
sao              7251944      0.9421     0.9351    
webster          41458703     0.6256     0.6280    
x-ray            8474240      0.8198     0.8057    
xml              5345280      0.6183     0.6214    

TOTAL            211938580    0.6133     0.6129    
