file             bytes        this work  kanzi Huf 
dickens          10192446     0.5768     0.5804    
mozilla          51220480     0.6817     0.6800    
mr               9970564      0.4681     0.4551    
nci              33553445     0.3144     0.3143    
ooffice          6152192      0.7995     0.7919    
osdb             10085684     0.8637     0.8535    
reymont          6627202      0.6081     0.6101    
samba            21606400     0.6488     0.6507    
sao              7251944      0.9579     0.9466    
webster          41458703     0.6314     0.6334    
x-ray            8474240      0.8415     0.8185    
xml              5345280      0.6226     0.6258    

TOTAL            211938580    0.6194     0.6172    
